epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7453,2.0162,3.52576,1.57019,0.56455,0.625,0.60602,0.30961,1.64372,2.62566,1.22871,0.00015003,0.00015003,0.00015003
2,26.4496,1.73905,2.15565,1.33716,0.31139,0.625,0.46271,0.26289,1.40789,2.72348,1.24548,0.00026447,0.00026447,0.00026447
3,40.8426,1.70763,2.15307,1.35628,1,0.24037,0.39255,0.21195,1.27669,2.85378,1.2182,0.000323898,0.000323898,0.000323898
4,54.8065,1.74269,1.92758,1.41564,0.42155,0.5494,0.46344,0.26663,1.35978,2.20561,1.18919,0.000328316,0.000328316,0.000328316
5,69.445,1.55255,1.68958,1.30542,0.85513,0.75,0.83115,0.4785,1.41453,1.4665,1.19217,0.000277722,0.000277722,0.000277722
6,83.6637,1.54741,1.44903,1.25527,0.85241,0.72513,0.89886,0.52227,1.31919,1.35048,1.18192,0.000172118,0.000172118,0.000172118
